148.206.53.224 - - "2022-10-19 10:55:57" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
200.68.183.172 - - "2022-10-19 13:20:14" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/106.0.5249.92 Mobile/15E148 Safari/604.1"
200.68.183.49 - - "2022-10-19 13:20:31" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/106.0.5249.92 Mobile/15E148 Safari/604.1"
200.68.183.172 - - "2022-10-19 13:20:44" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/106.0.5249.92 Mobile/15E148 Safari/604.1"
200.68.183.172 - - "2022-10-19 13:23:06" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/106.0.5249.92 Mobile/15E148 Safari/604.1"
148.206.53.81 - - "2022-10-19 14:23:39" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
148.206.53.81 - - "2022-10-19 14:23:41" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
148.206.53.81 - - "2022-10-19 14:24:07" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47"
148.206.53.81 - - "2022-10-19 14:25:18" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47"
148.206.53.81 - - "2022-10-19 15:05:08" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47"
148.206.32.75 - - "2022-10-19 15:21:03" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Microsoft Office PowerPoint 2014"
148.206.32.75 - - "2022-10-19 15:21:28" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; Win64; x64; Trident/7.0; .NET4.0C; .NET4.0E; ms-office)"
148.206.32.75 - - "2022-10-19 15:21:48" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47"
148.206.32.75 - - "2022-10-19 15:59:20" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Microsoft Office PowerPoint 2014"
148.206.32.75 - - "2022-10-19 15:59:22" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; Win64; x64; Trident/7.0; .NET4.0C; .NET4.0E; ms-office)"
148.206.32.75 - - "2022-10-19 15:59:24" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47"
