157.55.39.224 bot - "2023-01-16 05:08:53" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
148.206.53.36 - - "2023-01-16 13:22:42" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:23:31" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:23:35" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:23:38" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:23:43" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:25:08" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:36:32" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:36:57" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.53.36 - - "2023-01-16 13:39:35" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
148.206.40.140 - - "2023-01-16 14:00:58" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.40.140 - - "2023-01-16 14:02:28" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.40.140 - - "2023-01-16 14:02:33" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.40.140 - - "2023-01-16 14:02:37" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.40.140 - - "2023-01-16 15:08:58" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.81 - - "2023-01-16 16:01:16" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
